## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 1024B |      0.86 Kmsg/s |      0.9 MB/s |   1158.10 us |  1235.60 us |  1354.00 us |  0.9 |   88.1 |
| 65536B |      0.85 Kmsg/s |     56.0 MB/s |   1168.53 us |  1229.00 us |  1325.87 us |  1.0 |   88.3 |
| 131072B |      0.83 Kmsg/s |    108.5 MB/s |   1205.71 us |  1304.00 us |  1400.00 us |  1.4 |   90.9 |
| 262144B |      0.81 Kmsg/s |    212.2 MB/s |   1233.26 us |  1310.00 us |  1358.59 us |  1.6 |   90.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.84 Kmsg/s |      0.1 MB/s |   1183.05 us |  1305.00 us |  1382.76 us |  1.0 |   85.1 |
| 256B |      0.84 Kmsg/s |      0.2 MB/s |   1188.92 us |  1318.40 us |  1373.08 us |  1.0 |   85.6 |
| 1024B |      0.85 Kmsg/s |      0.9 MB/s |   1177.78 us |  1305.35 us |  1386.67 us |  0.9 |   84.6 |
| 65536B |      0.85 Kmsg/s |     55.5 MB/s |   1178.44 us |  1238.00 us |  1284.00 us |  0.9 |   85.8 |
| 131072B |      0.83 Kmsg/s |    109.1 MB/s |   1199.32 us |  1286.00 us |  1326.00 us |  1.1 |   88.4 |
| 262144B |      0.80 Kmsg/s |    210.8 MB/s |   1242.02 us |  1337.00 us |  1373.40 us |  1.3 |   87.7 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.87 Kmsg/s |      0.1 MB/s |   1142.76 us |  1180.00 us |  1206.00 us |  0.7 |   91.5 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1139.19 us |  1178.00 us |  1209.00 us |  0.7 |   90.0 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1141.76 us |  1177.00 us |  1203.54 us |  0.7 |   89.3 |
