## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |   12.5 |     22.9 |   11.6 |     18.3 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   6960.76 Kmsg/s |    445.5 MB/s | 554261.01 us | 734903.05 us | 838079.20 us |    7.8 |     23.7 |    9.0 |     20.9 |
| 256B |   2883.79 Kmsg/s |    738.3 MB/s | 534440.30 us | 729156.95 us | 839264.59 us |    7.7 |     26.0 |    9.7 |     23.4 |
| 1024B |   1342.84 Kmsg/s |   1375.1 MB/s | 625020.69 us | 1054267.80 us | 1131275.06 us |    7.5 |     26.2 |    8.8 |     22.2 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    5.9 |     28.0 |    9.0 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    6.0 |     26.8 |    8.8 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    6.2 |     24.2 |    8.3 |     20.9 |

### Transport: ws
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   5891.92 Kmsg/s |    377.1 MB/s | 607326.21 us | 876516.15 us | 956807.06 us |    7.4 |     26.2 |    8.1 |     22.2 |
| 256B |   4494.36 Kmsg/s |   1150.6 MB/s | 401372.12 us | 460104.25 us | 554182.40 us |    8.3 |     25.0 |    8.0 |     22.2 |
| 1024B |   1722.54 Kmsg/s |   1763.9 MB/s | 494920.12 us | 780219.80 us | 895707.01 us |    7.5 |     26.8 |    8.4 |     22.2 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    6.8 |     27.3 |    9.3 |     20.9 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.2 |     24.7 |    9.4 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.9 |     24.2 |    9.9 |     18.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   6575.80 Kmsg/s |    420.9 MB/s | 547620.13 us | 710364.20 us | 754028.07 us |    8.3 |     25.0 |    9.6 |     23.4 |
| 256B |   3685.00 Kmsg/s |    943.4 MB/s | 347144.49 us | 512294.10 us | 587489.08 us |    7.7 |     30.1 |    9.9 |     22.2 |
| 1024B |    988.26 Kmsg/s |   1012.0 MB/s | 870987.68 us | 1116694.40 us | 1158740.47 us |    6.6 |     28.8 |    9.2 |     20.9 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    5.7 |     28.0 |    9.1 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    5.9 |     26.8 |    9.1 |     19.6 |
| 262144B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    6.0 |     26.8 |    8.6 |     19.0 |

===============================================================================

## PATTERN: MULTI_GATEWAY (echo)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   3407.12 Kops/s |    436.1 MB/s |      0.29 us |     0.29 us |     0.29 us |   13.5 |     32.4 |   12.2 |    442.4 |
